text,label
AI systems are capable of analyzing large datasets efficiently.,1
AI-generated responses can sometimes appear overly formal.,1
This text was generated using a machine learning model for language synthesis. (157),1
This is a detailed analysis of historical events and their impact on modern society. (29),0
Mental health awareness is critical in modern society.,0
This is a detailed analysis of historical events and their impact on modern society. (78),0
This text was generated using a machine learning model for language synthesis. (168),1
This is a detailed analysis of historical events and their impact on modern society. (39),0
This is a detailed analysis of historical events and their impact on modern society. (35),0
This is a detailed analysis of historical events and their impact on modern society. (186),0
This text was generated using a machine learning model for language synthesis. (147),1
This is a detailed analysis of historical events and their impact on modern society. (65),0
This text was generated using a machine learning model for language synthesis. (77),1
This text was generated using a machine learning model for language synthesis. (103),1
This text was generated using a machine learning model for language synthesis. (5),1
This is a detailed analysis of historical events and their impact on modern society. (176),0
This is a detailed analysis of historical events and their impact on modern society. (120),0
This text was generated using a machine learning model for language synthesis. (149),1
This is a detailed analysis of historical events and their impact on modern society. (62),0
This text was generated using a machine learning model for language synthesis. (73),1
Equality and justice are fundamental human rights.,0
This is a detailed analysis of historical events and their impact on modern society. (114),0
This is a detailed analysis of historical events and their impact on modern society. (89),0
This text was generated using a machine learning model for language synthesis. (83),1
This is a detailed analysis of historical events and their impact on modern society. (116),0
This is a detailed analysis of historical events and their impact on modern society. (148),0
This is a detailed analysis of historical events and their impact on modern society. (30),0
This is a detailed analysis of historical events and their impact on modern society. (150),0
This is a detailed analysis of historical events and their impact on modern society. (66),0
This is a detailed analysis of historical events and their impact on modern society. (165),0
This is a detailed analysis of historical events and their impact on modern society. (73),0
This text was generated using a machine learning model for language synthesis. (116),1
This text was generated using a machine learning model for language synthesis. (107),1
This is a detailed analysis of historical events and their impact on modern society. (4),0
This text was generated using a machine learning model for language synthesis. (89),1
This is a detailed analysis of historical events and their impact on modern society. (86),0
This text was generated using a machine learning model for language synthesis. (50),1
This is a detailed analysis of historical events and their impact on modern society. (131),0
Embeddings represent words as dense vectors.,1
This text was generated using a machine learning model for language synthesis. (18),1
This text was generated using a machine learning model for language synthesis. (131),1
This is a detailed analysis of historical events and their impact on modern society. (152),0
This is a detailed analysis of historical events and their impact on modern society. (40),0
This is a detailed analysis of historical events and their impact on modern society. (192),0
This text was generated using a machine learning model for language synthesis. (82),1
This text was generated using a machine learning model for language synthesis. (166),1
This text was generated using a machine learning model for language synthesis. (62),1
This is a detailed analysis of historical events and their impact on modern society. (166),0
This text was generated using a machine learning model for language synthesis. (45),1
This text was generated using a machine learning model for language synthesis. (91),1
This text was generated using a machine learning model for language synthesis. (90),1
This text was generated using a machine learning model for language synthesis. (133),1
Content detection is important for academic integrity.,1
This is a detailed analysis of historical events and their impact on modern society. (117),0
This is a detailed analysis of historical events and their impact on modern society. (60),0
This text was generated using a machine learning model for language synthesis. (72),1
This is a detailed analysis of historical events and their impact on modern society. (146),0
This is a detailed analysis of historical events and their impact on modern society. (195),0
This is a detailed analysis of historical events and their impact on modern society. (196),0
Transformer models scale well with data and compute.,1
This is a detailed analysis of historical events and their impact on modern society. (32),0
This is a detailed analysis of historical events and their impact on modern society. (159),0
This text was generated using a machine learning model for language synthesis. (99),1
Reading daily improves vocabulary and comprehension.,0
This text was generated using a machine learning model for language synthesis. (68),1
This text was generated using a machine learning model for language synthesis. (54),1
This is a detailed analysis of historical events and their impact on modern society. (79),0
This is a detailed analysis of historical events and their impact on modern society. (71),0
This is a detailed analysis of historical events and their impact on modern society. (98),0
This text was generated using a machine learning model for language synthesis. (100),1
This is a detailed analysis of historical events and their impact on modern society. (105),0
This is a detailed analysis of historical events and their impact on modern society. (193),0
Deep learning networks are composed of multiple neural layers.,1
This text was generated using a machine learning model for language synthesis. (88),1
This is a detailed analysis of historical events and their impact on modern society. (24),0
This is a detailed analysis of historical events and their impact on modern society. (2),0
"GPT-3 can write poems, code, and essays with remarkable fluency.",1
This text was generated using a machine learning model for language synthesis. (113),1
This is a detailed analysis of historical events and their impact on modern society. (88),0
This text was generated using a machine learning model for language synthesis. (170),1
This text was generated using a machine learning model for language synthesis. (20),1
This is a detailed analysis of historical events and their impact on modern society. (119),0
This text was generated using a machine learning model for language synthesis. (7),1
This text was generated using a machine learning model for language synthesis. (37),1
This text was generated using a machine learning model for language synthesis. (167),1
This is a detailed analysis of historical events and their impact on modern society. (115),0
This is a detailed analysis of historical events and their impact on modern society. (10),0
This is a detailed analysis of historical events and their impact on modern society. (67),0
This is a detailed analysis of historical events and their impact on modern society. (84),0
This is a detailed analysis of historical events and their impact on modern society. (168),0
This is a detailed analysis of historical events and their impact on modern society. (68),0
Language is a powerful tool for expression and connection.,0
This is a detailed analysis of historical events and their impact on modern society. (13),0
This text was generated using a machine learning model for language synthesis. (137),1
"In this paper, we analyze the factors contributing to economic growth.",0
This text was generated using a machine learning model for language synthesis. (171),1
This is a detailed analysis of historical events and their impact on modern society. (44),0
This text was generated using a machine learning model for language synthesis. (76),1
This is a detailed analysis of historical events and their impact on modern society. (17),0
This is a detailed analysis of historical events and their impact on modern society. (64),0
This is a detailed analysis of historical events and their impact on modern society. (160),0
This text was generated using a machine learning model for language synthesis. (85),1
This text was generated using a machine learning model for language synthesis. (139),1
This is a detailed analysis of historical events and their impact on modern society. (183),0
This is a detailed analysis of historical events and their impact on modern society. (18),0
This text was generated using a machine learning model for language synthesis. (104),1
This is a detailed analysis of historical events and their impact on modern society. (43),0
This is a detailed analysis of historical events and their impact on modern society. (104),0
This is a detailed analysis of historical events and their impact on modern society. (123),0
This is a detailed analysis of historical events and their impact on modern society. (167),0
This text was generated using a machine learning model for language synthesis. (15),1
This text was generated using a machine learning model for language synthesis. (8),1
This text was generated using a machine learning model for language synthesis. (59),1
This text was generated using a machine learning model for language synthesis. (10),1
This text was generated using a machine learning model for language synthesis. (102),1
This text was generated using a machine learning model for language synthesis. (146),1
This is a detailed analysis of historical events and their impact on modern society. (46),0
This text was generated using a machine learning model for language synthesis. (12),1
This is a detailed analysis of historical events and their impact on modern society. (144),0
This text was generated using a machine learning model for language synthesis. (124),1
This is a detailed analysis of historical events and their impact on modern society. (140),0
This is a detailed analysis of historical events and their impact on modern society. (50),0
This text was generated using a machine learning model for language synthesis. (126),1
This is a detailed analysis of historical events and their impact on modern society. (199),0
This text was generated using a machine learning model for language synthesis. (38),1
This text was generated using a machine learning model for language synthesis. (199),1
This text was generated using a machine learning model for language synthesis. (1),1
This text was generated using a machine learning model for language synthesis. (63),1
This text was generated using a machine learning model for language synthesis. (190),1
This text was generated using a machine learning model for language synthesis. (74),1
This text was generated using a machine learning model for language synthesis. (148),1
This is a detailed analysis of historical events and their impact on modern society. (33),0
This is a detailed analysis of historical events and their impact on modern society. (100),0
This text was generated using a machine learning model for language synthesis. (17),1
This text was generated using a machine learning model for language synthesis. (75),1
This text was generated using a machine learning model for language synthesis. (39),1
This text was generated using a machine learning model for language synthesis. (182),1
This text was generated using a machine learning model for language synthesis. (67),1
This is a detailed analysis of historical events and their impact on modern society. (154),0
This text was generated using a machine learning model for language synthesis. (94),1
This is a detailed analysis of historical events and their impact on modern society. (85),0
This is a detailed analysis of historical events and their impact on modern society. (57),0
This is a detailed analysis of historical events and their impact on modern society. (118),0
This is a detailed analysis of historical events and their impact on modern society. (179),0
This is a detailed analysis of historical events and their impact on modern society. (153),0
This is a detailed analysis of historical events and their impact on modern society. (36),0
This is a detailed analysis of historical events and their impact on modern society. (41),0
This text was generated using a machine learning model for language synthesis. (57),1
This is a detailed analysis of historical events and their impact on modern society. (145),0
This text was generated using a machine learning model for language synthesis. (109),1
This text was generated using a machine learning model for language synthesis. (46),1
This is a detailed analysis of historical events and their impact on modern society. (48),0
This text was generated using a machine learning model for language synthesis. (6),1
This text was generated using a machine learning model for language synthesis. (118),1
This is a detailed analysis of historical events and their impact on modern society. (28),0
This text was generated using a machine learning model for language synthesis. (78),1
This text was generated using a machine learning model for language synthesis. (35),1
This is a detailed analysis of historical events and their impact on modern society. (54),0
This text was generated using a machine learning model for language synthesis. (114),1
Technological innovation continues to transform the way we live.,0
This text was generated using a machine learning model for language synthesis. (162),1
Fine-tuning adjusts pretrained models for specific tasks.,1
This text was generated using a machine learning model for language synthesis. (4),1
This is a detailed analysis of historical events and their impact on modern society. (6),0
This is a detailed analysis of historical events and their impact on modern society. (163),0
This is a detailed analysis of historical events and their impact on modern society. (107),0
This is a detailed analysis of historical events and their impact on modern society. (80),0
Reinforcement learning trains agents using rewards and penalties.,1
The brain is the most complex organ in the human body.,0
Teamwork is vital for organizational success.,0
This is a detailed analysis of historical events and their impact on modern society. (91),0
This is a detailed analysis of historical events and their impact on modern society. (63),0
This text was generated using a machine learning model for language synthesis. (105),1
This text was generated using a machine learning model for language synthesis. (188),1
This is a detailed analysis of historical events and their impact on modern society. (142),0
This is a detailed analysis of historical events and their impact on modern society. (16),0
Pretraining involves unsupervised learning on massive corpora.,1
This is a detailed analysis of historical events and their impact on modern society. (161),0
This text was generated using a machine learning model for language synthesis. (128),1
This text was generated using a machine learning model for language synthesis. (86),1
This is a detailed analysis of historical events and their impact on modern society. (99),0
Climate change remains one of the most pressing challenges of our time.,0
This text was generated using a machine learning model for language synthesis. (95),1
This is a detailed analysis of historical events and their impact on modern society. (127),0
This text was generated using a machine learning model for language synthesis. (3),1
This is a detailed analysis of historical events and their impact on modern society. (175),0
This text was generated using a machine learning model for language synthesis. (119),1
Volunteering fosters empathy and community connection.,0
This is a detailed analysis of historical events and their impact on modern society. (177),0
This text was generated using a machine learning model for language synthesis. (152),1
This is a detailed analysis of historical events and their impact on modern society. (21),0
This is a detailed analysis of historical events and their impact on modern society. (147),0
This text was generated using a machine learning model for language synthesis. (132),1
This is a detailed analysis of historical events and their impact on modern society. (134),0
This is a detailed analysis of historical events and their impact on modern society. (92),0
This is a detailed analysis of historical events and their impact on modern society. (19),0
This text was generated using a machine learning model for language synthesis. (13),1
This is a detailed analysis of historical events and their impact on modern society. (136),0
"Philosophy explores the nature of existence, knowledge, and ethics.",0
Travel exposes individuals to new experiences and cultures.,0
A healthy diet combined with regular exercise leads to better well-being.,0
This is a detailed analysis of historical events and their impact on modern society. (188),0
This text was generated using a machine learning model for language synthesis. (48),1
This is a detailed analysis of historical events and their impact on modern society. (121),0
This text was generated using a machine learning model for language synthesis. (150),1
Text classification models assign labels to given inputs.,1
This text was generated using a machine learning model for language synthesis. (97),1
This is a detailed analysis of historical events and their impact on modern society. (151),0
This is a detailed analysis of historical events and their impact on modern society. (181),0
This text was generated using a machine learning model for language synthesis. (9),1
This is a detailed analysis of historical events and their impact on modern society. (83),0
This text was generated using a machine learning model for language synthesis. (130),1
This is a detailed analysis of historical events and their impact on modern society. (59),0
Urban planning affects quality of life in cities.,0
This is a detailed analysis of historical events and their impact on modern society. (56),0
This is a detailed analysis of historical events and their impact on modern society. (49),0
This text was generated using a machine learning model for language synthesis. (177),1
Effective communication is essential for building strong relationships.,0
This text was generated using a machine learning model for language synthesis. (47),1
This text was generated using a machine learning model for language synthesis. (165),1
Data preprocessing improves the performance of machine learning pipelines.,1
This text was generated using a machine learning model for language synthesis. (21),1
Neural networks approximate complex functions.,1
This is a detailed analysis of historical events and their impact on modern society. (77),0
AI text often lacks subtle human emotional cues.,1
This text was generated using a machine learning model for language synthesis. (161),1
This text was generated using a machine learning model for language synthesis. (125),1
This is a detailed analysis of historical events and their impact on modern society. (137),0
This is a detailed analysis of historical events and their impact on modern society. (200),0
This text was generated using a machine learning model for language synthesis. (138),1
This text was generated using a machine learning model for language synthesis. (176),1
This text was generated using a machine learning model for language synthesis. (58),1
This is a detailed analysis of historical events and their impact on modern society. (157),0
This is a detailed analysis of historical events and their impact on modern society. (128),0
This is a detailed analysis of historical events and their impact on modern society. (133),0
This text was generated using a machine learning model for language synthesis. (16),1
This text was generated using a machine learning model for language synthesis. (159),1
This is a detailed analysis of historical events and their impact on modern society. (172),0
This text was generated using a machine learning model for language synthesis. (189),1
This text was generated using a machine learning model for language synthesis. (160),1
This text was generated using a machine learning model for language synthesis. (24),1
This text was generated using a machine learning model for language synthesis. (71),1
This is a detailed analysis of historical events and their impact on modern society. (190),0
This is a detailed analysis of historical events and their impact on modern society. (122),0
This is a detailed analysis of historical events and their impact on modern society. (82),0
Science relies on evidence and reproducibility.,0
This is a detailed analysis of historical events and their impact on modern society. (138),0
This is a detailed analysis of historical events and their impact on modern society. (111),0
This text was generated using a machine learning model for language synthesis. (30),1
This is a detailed analysis of historical events and their impact on modern society. (180),0
This is a detailed analysis of historical events and their impact on modern society. (26),0
Innovation drives progress in nearly every industry.,0
This text was generated using a machine learning model for language synthesis. (110),1
The quick brown fox jumps over the lazy dog.,0
This text was generated using a machine learning model for language synthesis. (145),1
This text was generated using a machine learning model for language synthesis. (183),1
AI can produce coherent narratives with minimal input.,1
This is a detailed analysis of historical events and their impact on modern society. (1),0
This is a detailed analysis of historical events and their impact on modern society. (126),0
Autoregressive models generate outputs one token at a time.,1
This is a detailed analysis of historical events and their impact on modern society. (184),0
This text was generated using a machine learning model for language synthesis. (87),1
This is a detailed analysis of historical events and their impact on modern society. (12),0
This text was generated using a machine learning model for language synthesis. (60),1
This text was generated using a machine learning model for language synthesis. (174),1
Art expresses emotions that words cannot capture.,0
This text was generated using a machine learning model for language synthesis. (66),1
This is a detailed analysis of historical events and their impact on modern society. (185),0
This is a detailed analysis of historical events and their impact on modern society. (162),0
Self-reflection promotes growth and improvement.,0
This text was generated using a machine learning model for language synthesis. (36),1
This is a detailed analysis of historical events and their impact on modern society. (9),0
This text was generated using a machine learning model for language synthesis. (108),1
This is a detailed analysis of historical events and their impact on modern society. (194),0
This is a detailed analysis of historical events and their impact on modern society. (87),0
This text was generated using a machine learning model for language synthesis. (49),1
This text was generated using a machine learning model for language synthesis. (193),1
This is a detailed analysis of historical events and their impact on modern society. (55),0
This text was generated using a machine learning model for language synthesis. (27),1
This text was generated using a machine learning model for language synthesis. (181),1
This text was generated using a machine learning model for language synthesis. (40),1
This is a detailed analysis of historical events and their impact on modern society. (164),0
The model generated a comprehensive summary of the given paragraph.,1
This text was generated using a machine learning model for language synthesis. (84),1
This text was generated by an advanced natural language processing model.,1
This is a detailed analysis of historical events and their impact on modern society. (95),0
This is a detailed analysis of historical events and their impact on modern society. (110),0
This text was generated using a machine learning model for language synthesis. (197),1
This is a detailed analysis of historical events and their impact on modern society. (108),0
This is a detailed analysis of historical events and their impact on modern society. (90),0
Language models predict the next word in a sequence.,1
The sentence structure suggests algorithmic composition.,1
This text was generated using a machine learning model for language synthesis. (65),1
This is a detailed analysis of historical events and their impact on modern society. (156),0
This is a detailed analysis of historical events and their impact on modern society. (173),0
Tokenization splits text into smaller units for processing.,1
This text was generated using a machine learning model for language synthesis. (34),1
This is a detailed analysis of historical events and their impact on modern society. (81),0
This is a detailed analysis of historical events and their impact on modern society. (197),0
This text was generated using a machine learning model for language synthesis. (164),1
This is a detailed analysis of historical events and their impact on modern society. (112),0
This text was generated using a machine learning model for language synthesis. (106),1
This text was generated using a machine learning model for language synthesis. (14),1
This text was generated using a machine learning model for language synthesis. (134),1
This text was generated using a machine learning model for language synthesis. (64),1
This is a detailed analysis of historical events and their impact on modern society. (178),0
This text was generated using a machine learning model for language synthesis. (29),1
This is a detailed analysis of historical events and their impact on modern society. (70),0
This is a detailed analysis of historical events and their impact on modern society. (51),0
This is a detailed analysis of historical events and their impact on modern society. (72),0
This text was generated using a machine learning model for language synthesis. (80),1
This is a detailed analysis of historical events and their impact on modern society. (20),0
This text was generated using a machine learning model for language synthesis. (93),1
This is a detailed analysis of historical events and their impact on modern society. (8),0
This text was generated using a machine learning model for language synthesis. (179),1
This text was generated using a machine learning model for language synthesis. (51),1
This is a detailed analysis of historical events and their impact on modern society. (135),0
This text was generated using a machine learning model for language synthesis. (187),1
This is a detailed analysis of historical events and their impact on modern society. (42),0
This text was generated using a machine learning model for language synthesis. (200),1
Critical thinking enables individuals to make informed decisions.,0
This is a detailed analysis of historical events and their impact on modern society. (109),0
Astronomy helps us understand our place in the universe.,0
This is a detailed analysis of historical events and their impact on modern society. (27),0
This is a detailed analysis of historical events and their impact on modern society. (191),0
This text was generated using a machine learning model for language synthesis. (69),1
This text was generated using a machine learning model for language synthesis. (156),1
This is a detailed analysis of historical events and their impact on modern society. (23),0
